"","Screening Criteria","Use","Jurisdiction","Parameter","Criteria_mg_L","CriteriaFraction","CF","Criterion_Formula_mgL"
"38","Recreation and Human Contact","Recreational","Region 6","Cobalt",0.05,"Dissolved",NA,NA
"39","Recreation and Human Contact","Recreational","Region 6","Copper",6.7,"Dissolved",NA,NA
"40","Recreation and Human Contact","Recreational","Region 6","Iron",120,"Dissolved",NA,NA
"41","Recreation and Human Contact","Recreational","Region 6","Lead",0.2,"Dissolved",NA,NA
"42","Recreation and Human Contact","Recreational","Region 6","Manganese",7.8,"Dissolved",NA,NA
"43","Recreation and Human Contact","Recreational","Region 6","Mercury",0.05,"Dissolved",NA,NA
"44","Recreation and Human Contact","Recreational","Region 6","Molybdenum",0.83,"Dissolved",NA,NA
"45","Recreation and Human Contact","Recreational","Region 6","Nickel",3.3,"Dissolved",NA,NA
"46","Recreation and Human Contact","Recreational","Region 6","Selenium",0.83,"Dissolved",NA,NA
"47","Recreation and Human Contact","Recreational","Region 6","Thallium",0.002,"Dissolved",NA,NA
"48","Recreation and Human Contact","Recreational","Region 6","Vanadium",0.83,"Dissolved",NA,NA
"49","Recreation and Human Contact","Recreational","Region 6","Zinc",50,"Dissolved",NA,NA
"50","Agriculture","Irrigation","Region 6","Antimony",5,"Dissolved",NA,NA
"51","Agriculture","Irrigation","Region 6","Cadmium",0.01,"Dissolved",NA,NA
"52","Agriculture","Irrigation","Region 6","Chromium",0.1,"Dissolved",NA,NA
"53","Agriculture","Irrigation","Region 6","Cobalt",1,"Dissolved",NA,NA
"54","Agriculture","Irrigation","Region 6","Copper",0.2,"Dissolved",NA,NA
"55","Agriculture","Irrigation","Region 6","Lead",5,"Dissolved",NA,NA
"56","Agriculture","Irrigation","Region 6","Manganese",0.2,"Dissolved",NA,NA
"57","Agriculture","Irrigation","Region 6","Nickel",0.2,"Dissolved",NA,NA
"58","Agriculture","Irrigation","Region 6","Selenium",0.13,"Dissolved",NA,NA
"59","Agriculture","Irrigation","Region 6","Vanadium",0.1,"Dissolved",NA,NA
"60","Agriculture","Irrigation","Region 6","Zinc",2,"Dissolved",NA,NA
"61","Agriculture","Irrigation","New Mexico","Aluminum",5,"Dissolved",NA,NA
"62","Agriculture","Irrigation","New Mexico","Arsenic",0.1,"Dissolved",NA,NA
"63","Agriculture","Irrigation","New Mexico","Cadmium",0.01,"Dissolved",NA,NA
"64","Agriculture","Irrigation","New Mexico","Chromium",0.1,"Dissolved",NA,NA
"65","Agriculture","Irrigation","New Mexico","Cobalt",0.05,"Dissolved",NA,NA
"66","Agriculture","Irrigation","New Mexico","Copper",0.2,"Dissolved",NA,NA
"67","Agriculture","Irrigation","New Mexico","Lead",5,"Dissolved",NA,NA
"68","Agriculture","Irrigation","New Mexico","Molybdenum",1,"Dissolved",NA,NA
"69","Agriculture","Irrigation","New Mexico","Selenium",0.13,"Dissolved",NA,NA
"70","Agriculture","Irrigation","New Mexico","Vanadium",0.1,"Dissolved",NA,NA
"71","Agriculture","Irrigation","New Mexico","Zinc",2,"Dissolved",NA,NA
"72","Agriculture","Irrigation (short-term)","Utah","Aluminum",20,"Dissolved",NA,NA
"73","Agriculture","Irrigation (short-term)","Utah","Arsenic",2,"Dissolved",NA,NA
"74","Agriculture","Irrigation (short-term)","Utah","Cadmium",0.05,"Dissolved",NA,NA
"75","Agriculture","Irrigation (short-term)","Utah","Chromium",1,"Dissolved",NA,NA
"76","Agriculture","Irrigation (short-term)","Utah","Cobalt",5,"Dissolved",NA,NA
"77","Agriculture","Irrigation (short-term)","Utah","Copper",5,"Dissolved",NA,NA
"78","Agriculture","Irrigation (short-term)","Utah","Iron",20,"Dissolved",NA,NA
"79","Agriculture","Irrigation (short-term)","Utah","Lead",10,"Dissolved",NA,NA
"80","Agriculture","Irrigation (short-term)","Utah","Manganese",10,"Dissolved",NA,NA
"81","Agriculture","Irrigation (short-term)","Utah","Molybdenum",0.05,"Dissolved",NA,NA
"82","Agriculture","Irrigation (short-term)","Utah","Nickel",2,"Dissolved",NA,NA
"83","Agriculture","Irrigation (short-term)","Utah","Selenium",0.02,"Dissolved",NA,NA
"84","Agriculture","Irrigation (short-term)","Utah","Vanadium",1,"Dissolved",NA,NA
"85","Agriculture","Irrigation (short-term)","Utah","Zinc",10,"Dissolved",NA,NA
"86","Agriculture","Irrigation (long-term)","Utah","Aluminum",5,"Dissolved",NA,NA
"87","Agriculture","Irrigation (long-term)","Utah","Arsenic",0.1,"Dissolved",NA,NA
"88","Agriculture","Irrigation (long-term)","Utah","Cadmium",0.01,"Dissolved",NA,NA
"89","Agriculture","Irrigation (long-term)","Utah","Chromium",0.1,"Dissolved",NA,NA
"90","Agriculture","Irrigation (long-term)","Utah","Cobalt",0.05,"Dissolved",NA,NA
"91","Agriculture","Irrigation (long-term)","Utah","Copper",0.2,"Dissolved",NA,NA
"92","Agriculture","Irrigation (long-term)","Utah","Iron",5,"Dissolved",NA,NA
"93","Agriculture","Irrigation (long-term)","Utah","Lead",5,"Dissolved",NA,NA
"94","Agriculture","Irrigation (long-term)","Utah","Manganese",0.2,"Dissolved",NA,NA
"95","Agriculture","Irrigation (long-term)","Utah","Molybdenum",0.01,"Dissolved",NA,NA
"96","Agriculture","Irrigation (long-term)","Utah","Nickel",0.2,"Dissolved",NA,NA
"97","Agriculture","Irrigation (long-term)","Utah","Selenium",0.02,"Dissolved",NA,NA
"98","Agriculture","Irrigation (long-term)","Utah","Vanadium",0.1,"Dissolved",NA,NA
"99","Agriculture","Irrigation (long-term)","Utah","Zinc",2,"Dissolved",NA,NA
"100","Agriculture","Agricultural Uses","Utah","Arsenic",0.1,"Dissolved",NA,NA
"101","Agriculture","Agricultural Uses","Utah","Cadmium",0.01,"Dissolved",NA,NA
"102","Agriculture","Agricultural Uses","Utah","Chromium",0.1,"Dissolved",NA,NA
"103","Agriculture","Agricultural Uses","Utah","Copper",0.2,"Dissolved",NA,NA
"104","Agriculture","Agricultural Uses","Utah","Lead",0.1,"Dissolved",NA,NA
"105","Agriculture","Agricultural Uses","Utah","Selenium",0.05,"Dissolved",NA,NA
"106","Agriculture","Agricultural Supply","Navajo Nation","Aluminum",20,"Dissolved",NA,NA
"107","Agriculture","Agricultural Supply","Navajo Nation","Cobalt",5,"Dissolved",NA,NA
"108","Agriculture","Agricultural Supply","Navajo Nation","Copper",5,"Dissolved",NA,NA
"109","Agriculture","Agricultural Supply","Navajo Nation","Molybdenum",0.05,"Dissolved",NA,NA
"110","Agriculture","Agricultural Supply","Navajo Nation","Vanadium",1,"Dissolved",NA,NA
"111","Agriculture","Revised Ag Water Supply","Region 9","Aluminum",5,"Dissolved",NA,NA
"112","Agriculture","Revised Ag Water Supply","Region 9","Arsenic",2,"Dissolved",NA,NA
"113","Agriculture","Revised Ag Water Supply","Region 9","Cadmium",0.05,"Dissolved",NA,NA
"114","Agriculture","Revised Ag Water Supply","Region 9","Chromium",1,"Dissolved",NA,NA
"115","Agriculture","Revised Ag Water Supply","Region 9","Cobalt",0.05,"Dissolved",NA,NA
"116","Agriculture","Revised Ag Water Supply","Region 9","Copper",0.2,"Dissolved",NA,NA
"117","Agriculture","Revised Ag Water Supply","Region 9","Lead",10,"Dissolved",NA,NA
"118","Agriculture","Revised Ag Water Supply","Region 9","Molybdenum",1,"Dissolved",NA,NA
"119","Agriculture","Revised Ag Water Supply","Region 9","Selenium",0.02,"Dissolved",NA,NA
"120","Agriculture","Revised Ag Water Supply","Region 9","Vanadium",0.1,"Dissolved",NA,NA
"121","Agriculture","Revised Ag Water Supply","Region 9","Zinc",10,"Dissolved",NA,NA
"122","Livestock","Livestock Watering","Region 6","Beryllium",0.1,"Dissolved",NA,NA
"123","Livestock","Livestock Watering","Region 6","Cadmium",0.05,"Dissolved",NA,NA
"124","Livestock","Livestock Watering","Region 6","Chromium",1,"Dissolved",NA,NA
"125","Livestock","Livestock Watering","Region 6","Copper",0.5,"Dissolved",NA,NA
"126","Livestock","Livestock Watering","Region 6","Lead",0.1,"Dissolved",NA,NA
"127","Livestock","Livestock Watering","Region 6","Mercury",0.01,"Dissolved",NA,NA
"128","Livestock","Livestock Watering","Region 6","Nickel",1,"Dissolved",NA,NA
"129","Livestock","Livestock Watering","Region 6","Selenium",0.25,"Dissolved",NA,NA
"130","Livestock","Livestock Watering","Region 6","Vanadium",0.1,"Dissolved",NA,NA
"131","Livestock","Livestock Watering","Region 6","Zinc",25,"Dissolved",NA,NA
"132","Livestock","Livestock Watering","Region 9","Arsenic",0.2,"Dissolved",NA,NA
"133","Livestock","Livestock Watering","Region 9","Cadmium",0.05,"Dissolved",NA,NA
"134","Livestock","Livestock Watering","Region 9","Chromium",1,"Dissolved",NA,NA
"135","Livestock","Livestock Watering","Region 9","Cobalt",1,"Dissolved",NA,NA
"136","Livestock","Livestock Watering","Region 9","Copper",0.5,"Dissolved",NA,NA
"137","Livestock","Livestock Watering","Region 9","Lead",0.1,"Dissolved",NA,NA
"138","Livestock","Livestock Watering","Region 9","Selenium",0.05,"Dissolved",NA,NA
"139","Livestock","Livestock Watering","Region 9","Vanadium",0.1,"Dissolved",NA,NA
"140","Livestock","Livestock Watering","Region 9","Zinc",25,"Dissolved",NA,NA
"141","Livestock","Livestock Watering","New Mexico","Arsenic",0.2,"Dissolved",NA,NA
"142","Livestock","Livestock Watering","New Mexico","Cadmium",0.05,"Dissolved",NA,NA
"143","Livestock","Livestock Watering","New Mexico","Chromium",1,"Dissolved",NA,NA
"144","Livestock","Livestock Watering","New Mexico","Cobalt",1,"Dissolved",NA,NA
"145","Livestock","Livestock Watering","New Mexico","Copper",0.5,"Dissolved",NA,NA
"146","Livestock","Livestock Watering","New Mexico","Lead",0.1,"Dissolved",NA,NA
"147","Livestock","Livestock Watering","New Mexico","Selenium",0.05,"Dissolved",NA,NA
"148","Livestock","Livestock Watering","New Mexico","Vanadium",0.1,"Dissolved",NA,NA
"149","Livestock","Livestock Watering","New Mexico","Zinc",25,"Dissolved",NA,NA
"150","Livestock","Livestock Watering","Utah","Aluminum",5,"Dissolved",NA,NA
"151","Livestock","Livestock Watering","Utah","Arsenic",0.2,"Dissolved",NA,NA
"152","Livestock","Livestock Watering","Utah","Cadmium",0.05,"Dissolved",NA,NA
"153","Livestock","Livestock Watering","Utah","Calcium",500,"Dissolved",NA,NA
"154","Livestock","Livestock Watering","Utah","Chromium",1,"Dissolved",NA,NA
"155","Livestock","Livestock Watering","Utah","Cobalt",1,"Dissolved",NA,NA
"156","Livestock","Livestock Watering","Utah","Copper",0.5,"Dissolved",NA,NA
"157","Livestock","Livestock Watering","Utah","Lead",0.1,"Dissolved",NA,NA
"158","Livestock","Livestock Watering","Utah","Magnesium",250,"Dissolved",NA,NA
"159","Livestock","Livestock Watering","Utah","Mercury",0.01,"Dissolved",NA,NA
"160","Livestock","Livestock Watering","Utah","Selenium",0.05,"Dissolved",NA,NA
"161","Livestock","Livestock Watering","Utah","Sodium",1000,"Dissolved",NA,NA
