Comments,Screening.Criteria,Use,Jurisdiction,CharacteristicName,ResultSampleFractionText,Criteria_mg_L,CF,Criterion_Formula_mgL
415,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Cadmium,Total,0.47,,
467,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Cadmium,Total,0.47,,
286,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Chromium,Total,0.1,,
341,Fish Consumption,Fish Consumption,Navajo Nation,Chromium,Total,0.15,,
369,Livestock,Livestock Watering,New Mexico,Cobalt,Dissolved,1,,
31,Agriculture,Irrigation,New Mexico,Copper,Dissolved,0.2,,
135,Aquatic Life,Aquatic Acute,New Mexico,Copper,Dissolved,,0.96,(CF*exp( 0.9422 *log(hardness)+ -1.7 ))/1000
205,Aquatic Life,Aquatic Chronic,New Mexico,Copper,Dissolved,,0.96,(CF*exp( 0.8545 *log(hardness)+ -1.702 ))/1000
301,Domestic Water Supply,Domestic Water Supply,New Mexico,Copper,Dissolved,1.3,,
370,Livestock,Livestock Watering,New Mexico,Copper,Dissolved,0.5,,
136,Aquatic Life,Aquatic Acute,New Mexico,Hardness,Dissolved,300,,
206,Aquatic Life,Aquatic Chronic,New Mexico,Hardness,Dissolved,300,,
32,Agriculture,Irrigation,New Mexico,Lead,Dissolved,5,,
137,Aquatic Life,Aquatic Acute,New Mexico,Lead,Dissolved,,1.46203 -log(hardness)* 0.145712,(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000
207,Aquatic Life,Aquatic Chronic,New Mexico,Lead,Dissolved,,1.46203 -log(hardness)* 0.145712,(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000
302,Domestic Water Supply,Domestic Water Supply,New Mexico,Lead,Dissolved,0.015,,
371,Livestock,Livestock Watering,New Mexico,Lead,Dissolved,0.1,,
138,Aquatic Life,Aquatic Acute,New Mexico,Manganese,Dissolved,,1,(CF*exp( 0.3331 *log(hardness)+ 6.4676 ))/1000
177,Aquatic Life,Aquatic Chronic,Colorado,Hardness,Dissolved,200,,
255,Aquatic Life,Warm Water Fish 1-hr,Utah,Hardness,Dissolved,200,,
268,Aquatic Life,Warm Water Fish 4-day,Utah,Hardness,Dissolved,200,,
54,Agriculture,Irrigation (long-term),Utah,Iron,Dissolved,5,,
68,Agriculture,Irrigation (short-term),Utah,Iron,Dissolved,20,,
178,Aquatic Life,Aquatic Chronic,Colorado,Iron,Total Recoverable,1,,
155,Aquatic Life,Aquatic Acute,Ute Mountain Ute,Lead,Dissolved,,1.46203 -log(hardness)* 0.14572,(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000
223,Aquatic Life,Aquatic Chronic,Ute Mountain Ute,Lead,Dissolved,,1.46203 -log(hardness)* 0.145712,(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000
321,Domestic Water Supply,Domestic Water and Tribal 1 Day,Ute Mountain Ute,Lead,Dissolved,0.05,,
22,Agriculture,Agriculture 30-Day,Ute Mountain Ute,Mercury,Total Recoverable,0.01,,
169,Aquatic Life,Aquatic Acute 1-Hour,Ute Mountain Ute,Mercury,Total Recoverable,0.0014,,
232,Aquatic Life,Aqutic Chronic 4-Day,Ute Mountain Ute,Mercury,Total Recoverable,1.20E-05,,
322,Domestic Water Supply,Domestic Water and Tribal 1 Day,Ute Mountain Ute,Mercury,Total Recoverable,5.00E-05,,
349,Fish Consumption,Fish Consumption,Ute Mountain Ute,Mercury,Total Recoverable,5.10E-05,,
23,Agriculture,Agriculture 30-Day,Ute Mountain Ute,Nickel,Total Recoverable,0.2,,
156,Aquatic Life,Aquatic Acute,Ute Mountain Ute,Nickel,Dissolved,,7.080399974,(CF*exp( 0.846 *log(hardness)+ 2.255 ))/1000
224,Aquatic Life,Aquatic Chronic,Ute Mountain Ute,Nickel,Dissolved,,4.883799974,(CF*exp( 0.846 *log(hardness)+ 0.0584 ))/1000
329,Domestic Water Supply,Drinking Water 30-Day,Ute Mountain Ute,Nickel,Dissolved,0.1,,
24,Agriculture,Agriculture 30-Day,Ute Mountain Ute,Selenium,Total Recoverable,0.02,,
359,Livestock,Livestock Watering,Navajo Nation,Chromium,Total,1,,
