"","Screening.Criteria","Use","Jurisdiction","CharacteristicName","ResultSampleFractionText","Criteria_mg_L","CF","Criterion_Formula_mgL"
"42","Recreation and Human Contact","Recreational","Region 6","Arsenic","Dissolved",0.05,NA,NA
"43","Recreation and Human Contact","Recreational","Region 6","Barium","Dissolved",33,NA,NA
"44","Livestock","Livestock Watering","Region 6","Beryllium","Dissolved",0.1,NA,NA
"45","Recreation and Human Contact","Recreational","Region 6","Beryllium","Dissolved",0.33,NA,NA
"46","Agriculture","Irrigation","Region 6","Cadmium","Dissolved",0.01,NA,NA
"47","Livestock","Livestock Watering","Utah","Aluminum","Dissolved",5,NA,NA
"48","Recreation and Human Contact","Recreational","Utah","Aluminum","Total",620.767,NA,NA
"49","Fish Consumption","Fish Consumption","Colorado","Antimony","Total Recoverable",0.64,NA,NA
"50","Recreation and Human Contact","Recreational","Utah","Antimony","Total",0.248,NA,NA
"51","Agriculture","Agricultural Uses","Utah","Arsenic","Dissolved",0.1,NA,NA
"52","Agriculture","Irrigation (long-term)","Utah","Arsenic","Dissolved",0.1,NA,NA
"53","Agriculture","Irrigation (short-term)","Utah","Arsenic","Dissolved",2,NA,NA
"54","Aquatic Life","Aquatic Acute","Colorado","Arsenic","Dissolved",0.34,NA,NA
"55","Aquatic Life","Aquatic Chronic","Colorado","Arsenic","Dissolved",0.15,NA,NA
"56","Fish Consumption","Fish Consumption","Colorado","Arsenic","Total Recoverable",0.0076,NA,NA
"57","Aquatic Life","Warm Water Fish 1-hr","Utah","Arsenic","Dissolved",0.34,NA,NA
"58","Aquatic Life","Warm Water Fish 4-day","Utah","Arsenic","Dissolved",0.15,NA,NA
"59","Domestic Water Supply","Domestic Water Supply","Utah","Arsenic","Dissolved",0.01,NA,NA
"60","Livestock","Livestock Watering","Utah","Arsenic","Dissolved",0.2,NA,NA
"61","Recreation and Human Contact","Recreational","Utah","Arsenic","Total",0.186,NA,NA
"62","Domestic Water Supply","Domestic Supply 1-Day","Colorado","Barium","Total Recoverable",1,NA,NA
"63","Domestic Water Supply","Domestic Water Supply","Utah","Barium","Dissolved",1,NA,NA
"64","Recreation and Human Contact","Recreational","Utah","Barium","Total",124.159,NA,NA
"65","Domestic Water Supply","Domestic Water Supply","Utah","Beryllium","Dissolved",0.004,NA,NA
"66","Recreation and Human Contact","Recreational","Utah","Beryllium","Total",1.242,NA,NA
"67","Agriculture","Agricultural Uses","Utah","Cadmium","Dissolved",0.01,NA,NA
"68","Agriculture","Irrigation (long-term)","Utah","Cadmium","Dissolved",0.01,NA,NA
"69","Agriculture","Irrigation (short-term)","Utah","Cadmium","Dissolved",0.05,NA,NA
"70","Aquatic Life","Aquatic Acute","Colorado","Cadmium","Dissolved",NA,"1.136672 -log(hardness)* 0.041838","(CF*exp( 0.9151 *log(hardness)+ -3.1485 ))/1000"
"71","Aquatic Life","Aquatic Chronic","Colorado","Cadmium","Dissolved",NA,"1.101672 -log(hardness)* 0.041838","(CF*exp( 0.7998 *log(hardness)+ -4.4451 ))/1000"
"72","Aquatic Life","Trout Acute","Colorado","Cadmium","Dissolved",NA,"1.136672 -log(hardness)* 0.041838","(CF*exp( 0.9151 *log(hardness)+ -3.6236 ))/1000"
"73","Domestic Water Supply","Domestic Supply 1-Day","Colorado","Cadmium","Total Recoverable",0.005,NA,NA
"74","Aquatic Life","Aquatic Acute","Utah","Cadmium","Dissolved",NA,"1.136672 -log(hardness)* 0.041838","(CF*exp( 0.9789 *log(hardness)+ -3.866 ))/1000"
"75","Agriculture","Revised Ag Water Supply","Region 9","Cadmium","Dissolved",0.05,NA,NA
"76","Aquatic Life","Aquatic Acute","EPA","Cadmium","Dissolved",NA,"1.136672 -log(hardness)* 0.041838","(CF*exp( 0.9789 *log(hardness)+ -3.866 ))/1000"
"77","Aquatic Life","Aquatic Chronic","EPA","Cadmium","Dissolved",NA,"1.101672 -log(hardness)* 0.041838","(CF*exp( 0.7977 *log(hardness)+ -3.909 ))/1000"
"78","Livestock","Livestock Watering","Region 6","Cadmium","Dissolved",0.05,NA,NA
"79","Livestock","Livestock Watering","Region 9","Cadmium","Dissolved",0.05,NA,NA
"80","Recreation and Human Contact","Recreational","Region 6","Cadmium","Dissolved",0.083,NA,NA
"81","Agriculture","Irrigation","Region 6","Chromium","Dissolved",0.1,NA,NA
"82","Agriculture","Revised Ag Water Supply","Region 9","Chromium","Dissolved",1,NA,NA
"83","Livestock","Livestock Watering","Region 6","Chromium","Dissolved",1,NA,NA
"84","Livestock","Livestock Watering","Region 9","Chromium","Dissolved",1,NA,NA
"85","Recreation and Human Contact","Recreational","Region 6","Chromium","Dissolved",220,NA,NA
"86","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Arsenic","Dissolved",0.34,NA,NA
"87","Aquatic Life","Chronic Ag and Wildlife","Navajo Nation","Arsenic","Dissolved",0.15,NA,NA
"88","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Arsenic","Total",0.01,NA,NA
"89","Fish Consumption","Fish Consumption","Navajo Nation","Arsenic","Total",0.08,NA,NA
"90","Livestock","Livestock Watering","Navajo Nation","Arsenic","Total",0.2,NA,NA
"91","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Arsenic","Total",0.03,NA,NA
"92","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Arsenic","Total",0.28,NA,NA
"93","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Barium","Total",2,NA,NA
"94","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Barium","Total",98,NA,NA
"95","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Barium","Total",98,NA,NA
"96","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Beryllium","Total",0.004,NA,NA
"97","Fish Consumption","Fish Consumption","Navajo Nation","Beryllium","Total",0.085,NA,NA
"98","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Beryllium","Total",1.87,NA,NA
"99","Aquatic Life","Aquatic Chronic","Utah","Cadmium","Dissolved",NA,"1.101672 -log(hardness)* 0.041838","(CF*exp( 0.7977 *log(hardness)+ -3.909 ))/1000"
"100","Aquatic Life","Warm Water Fish 1-hr","Utah","Cadmium","Dissolved",0.002,NA,NA
"101","Aquatic Life","Warm Water Fish 4-day","Utah","Cadmium","Dissolved",0.00025,NA,NA
"102","Domestic Water Supply","Domestic Water Supply","Utah","Cadmium","Dissolved",0.01,NA,NA
"103","Livestock","Livestock Watering","Utah","Cadmium","Dissolved",0.05,NA,NA
"104","Recreation and Human Contact","Recreational","Utah","Cadmium","Total",0.062,NA,NA
"105","Livestock","Livestock Watering","Utah","Calcium","Dissolved",500,NA,NA
"106","Agriculture","Agricultural Uses","Utah","Chromium","Dissolved",0.1,NA,NA
"107","Agriculture","Irrigation (long-term)","Utah","Chromium","Dissolved",0.1,NA,NA
"108","Agriculture","Irrigation (short-term)","Utah","Chromium","Dissolved",1,NA,NA
"109","Aquatic Life","Aquatic Acute","Colorado","Chromium","Dissolved",0.016,NA,NA
"110","Aquatic Life","Aquatic Chronic","Colorado","Chromium","Dissolved",0.011,NA,NA
"111","Domestic Water Supply","Domestic Supply 1-Day","Colorado","Chromium","Total Recoverable",0.05,NA,NA
"112","Aquatic Life","Warm Water Fish 1-hr","Utah","Chromium","Dissolved",0.016,NA,NA
"113","Aquatic Life","Aquatic Acute","EPA","Chromium(III)","Dissolved",NA,"0.316","(CF*exp( 0.819 *log(hardness)+ 3.7256 ))/1000"
"114","Aquatic Life","Aquatic Chronic","EPA","Chromium(III)","Dissolved",NA,"0.86","(CF*exp( 0.819 *log(hardness)+ 0.6848 ))/1000"
"115","Agriculture","Irrigation","Region 6","Cobalt","Dissolved",1,NA,NA
"116","Agriculture","Revised Ag Water Supply","Region 9","Cobalt","Dissolved",0.05,NA,NA
"117","Livestock","Livestock Watering","Region 9","Cobalt","Dissolved",1,NA,NA
"118","Recreation and Human Contact","Recreational","Region 6","Cobalt","Dissolved",0.05,NA,NA
"119","Agriculture","Irrigation","Region 6","Copper","Dissolved",0.2,NA,NA
"120","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Beryllium","Total",1.87,NA,NA
"121","Agriculture","Agricultural Supply","Navajo Nation","Beryllium","Total",0.05,NA,NA
"122","Aquatic Life","Aquatic Acute","Navajo Nation","Cadmium","Dissolved",NA,"1.136672 -log(hardness)* 0.041838","(CF*exp( 1.0166 *log(hardness)+ -3.924 ))/1000"
"123","Aquatic Life","Aquatic Chronic","Navajo Nation","Cadmium","Dissolved",NA,"1.101672 -log(hardness)* 0.041838","(CF*exp( 0.7409 *log(hardness)+ -4.719 ))/1000"
"124","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Cadmium","Total",0.005,NA,NA
"125","Livestock","Livestock Watering","New Mexico","Arsenic","Dissolved",0.2,NA,NA
"126","Domestic Water Supply","Domestic Water Supply","New Mexico","Barium","Dissolved",2,NA,NA
"127","Domestic Water Supply","Domestic Water Supply","New Mexico","Beryllium","Dissolved",0.004,NA,NA
"128","Agriculture","Irrigation","New Mexico","Cadmium","Dissolved",0.01,NA,NA
"129","Aquatic Life","Aquatic Acute","New Mexico","Cadmium","Dissolved",NA,"1.136672 -log(hardness)* 0.041838","(CF*exp( 0.8968 *log(hardness)+ -3.5699 ))/1000"
"130","Aquatic Life","Aquatic Chronic","New Mexico","Cadmium","Dissolved",NA,"1.101672 -log(hardness)* 0.041838","(CF*exp( 0.7647 *log(hardness)+ -4.218 ))/1000"
"131","Domestic Water Supply","Domestic Water Supply","New Mexico","Cadmium","Dissolved",0.005,NA,NA
"132","Livestock","Livestock Watering","New Mexico","Cadmium","Dissolved",0.05,NA,NA
"133","Agriculture","Irrigation","New Mexico","Chromium","Dissolved",0.1,NA,NA
"134","Aquatic Life","Aquatic Acute","New Mexico","Chromium","Dissolved",0.016,NA,NA
"135","Aquatic Life","Aquatic Chronic","New Mexico","Chromium","Dissolved",0.011,NA,NA
"136","Domestic Water Supply","Domestic Water Supply","New Mexico","Chromium","Dissolved",0.1,NA,NA
"137","Livestock","Livestock Watering","New Mexico","Chromium","Dissolved",1,NA,NA
"138","Aquatic Life","Aquatic Acute","New Mexico","Chromium(III)","Dissolved",NA,"0.316","(CF*exp( 0.819 *log(hardness)+ 3.7256 ))/1000"
"139","Aquatic Life","Aquatic Chronic","New Mexico","Chromium(III)","Dissolved",NA,"0.86","(CF*exp( 0.819 *log(hardness)+ 0.6848 ))/1000"
"140","Agriculture","Irrigation","New Mexico","Cobalt","Dissolved",0.05,NA,NA
"141","Aquatic Life","Warm Water Fish 4-day","Utah","Chromium","Dissolved",0.011,NA,NA
"142","Domestic Water Supply","Domestic Water Supply","Utah","Chromium","Dissolved",0.05,NA,NA
"143","Livestock","Livestock Watering","Utah","Chromium","Dissolved",1,NA,NA
"144","Recreation and Human Contact","Recreational","Utah","Chromium","Total",0.41,NA,NA
"145","Aquatic Life","Aquatic Acute","Utah","Chromium(III)","Dissolved",NA,"0.316","(CF*exp( 0.819 *log(hardness)+ 3.7256 ))/1000"
"146","Aquatic Life","Aquatic Acute","Colorado","Chromium(III)","Dissolved",NA,"1","(CF*exp( 0.819 *log(hardness)+ 2.5736 ))/1000"
"147","Aquatic Life","Aquatic Chronic","Colorado","Chromium(III)","Dissolved",NA,"1","(CF*exp( 0.819 *log(hardness)+ 0.534 ))/1000"
"148","Aquatic Life","Aquatic Acute","Ute Mountain Ute","Cadmium","Dissolved",NA,"1.136672 -log(hardness)* 0.041838","(CF*exp( 1.0166 *log(hardness)+ -3.924 ))/1000"
"149","Aquatic Life","Aquatic Chronic","Ute Mountain Ute","Cadmium","Dissolved",NA,"1.101672 -log(hardness)* 0.041838","(CF*exp( 0.7409 *log(hardness)+ -4.719 ))/1000"
