BeneficialUse,Type,Parameter,Criteria mg/L
Livestock,Dissolved,Hardness,180
Recreation,Total,Zinc,217.786
Livestock,Dissolved,Magnesium,250
Primary Contact Recreation,Total,Zinc,280
Livestock,Total,Manganese,300
Livestock,Dissolved,Calcium,500
Recreation,Total,Aluminum,620.787
Recreation,Total,Iron,851.582
Livestock,Dissolved,Sodium,1000
Primary Contact Recreation,Total,Chromium III,1400
Recreation,Total,Arsenic (non-cancer),
Recreation,Total,Arsenic (cancer),
Recreation,Total,Boron,
Recreation,Total,Calcium,
Recreation,Total,Chlorine,
Recreation,Total,Chromium III,
Recreation,Total,Chromium VI,
Recreation,Total,Hardness,
Recreation,Total,Magnesium,
Recreation,Total,Nitrate,
Recreation,Total,pH,
Recreation,Total,Potassium,
Recreation,Total,Silver,
Recreation,Total,Sodium,
Recreation,Total,Total Dissolved Solids,
Recreation,Total,Uranium,
Primary Contact Recreation,Total,Aluminum,
Primary Contact Recreation,Total,Arsenic (non-cancer),
Primary Contact Recreation,Total,Arsenic (cancer),
Primary Contact Recreation,Total,Calcium,
Primary Contact Recreation,Total,Chromium,
Primary Contact Recreation,Total,Cobalt,
Primary Contact Recreation,Total,Hardness,
Primary Contact Recreation,Total,Iron,
Primary Contact Recreation,Total,Magnesium,
Primary Contact Recreation,Total,Molybdenum,
Primary Contact Recreation,Total,Nitrate,
Primary Contact Recreation,Total,pH,
Primary Contact Recreation,Total,Potassium,
Primary Contact Recreation,Total,Sodium,
Primary Contact Recreation,Total,Total Dissolved Solids,
Primary Contact Recreation,Total,Vanadium,
Irrigation,Total,Aluminum,
Irrigation,Total,Antimony,
Irrigation,Total,Arsenic,
Irrigation,Total,Barium,
Irrigation,Total,Boron,
Irrigation,Total,Calcium,
Irrigation,Total,Chromium III,
Irrigation,Total,Chromium VI,
Irrigation,Total,Chromium III + VI,
Irrigation,Total,Hardness,
Irrigation,Total,Iron,
Irrigation,Total,Magnesium,
Irrigation,Total,Mercury,
Irrigation,Total,Nitrate,
Irrigation,Total,pH,
Irrigation,Total,Potassium,
Irrigation,Total,Silver,
Irrigation,Total,Sodium,
Irrigation,Total,Thallium,
Irrigation,Total,Total Dissolved solids,
Irrigation,Total,Uranium,
Irrigation,Dissolved,Barium,
Irrigation,Dissolved,Beryllium,
Irrigation,Dissolved,Boron,
Irrigation,Dissolved,Calcium,
Irrigation,Dissolved,Chromium III,
Irrigation,Dissolved,Chromium VI,
Irrigation,Dissolved,Chromium III + VI,
Irrigation,Dissolved,Hardness,
Irrigation,Dissolved,Magnesium,
Irrigation,Dissolved,Nitrate,
Irrigation,Dissolved,pH,
Irrigation,Dissolved,Potassium,
Irrigation,Dissolved,Silver,
Irrigation,Dissolved,Sodium,
Irrigation,Dissolved,Thallium,
Irrigation,Dissolved,Total Dissolved solids,
Irrigation,Dissolved,Uranium,
Livestock,Total,Aluminum,
Livestock,Total,Antimony,
Livestock,Total,Boron,
Livestock,Total,Calcium,
Livestock,Total,Chromium,
Livestock,Total,Chromium III,
Livestock,Total,Chromium VI,
Livestock,Total,Chromium III + VI,
Livestock,Total,Hardness,
Livestock,Total,Iron,
Livestock,Total,Magnesium,
Livestock,Total,Nitrate,
Livestock,Total,pH,
Livestock,Total,Potassium,
Livestock,Total,Selenium,
Livestock,Total,Silver,
Livestock,Total,Sodium,
Livestock,Total,Thallium,
Livestock,Total,Total Dissolved solids,
Livestock,Total,Uranium,
Livestock,Dissolved,Antimony,
Livestock,Dissolved,Barium,
Livestock,Dissolved,Beryllium,
Livestock,Dissolved,Boron,
Livestock,Dissolved,Chromium III,
Livestock,Dissolved,Chromium VI,
Livestock,Dissolved,Chromium III + VI,
Livestock,Dissolved,Iron,
Livestock,Dissolved,Manganese,
Livestock,Dissolved,Molybdenum,
Livestock,Dissolved,Nitrate,
